Year,Month,UCB,Stanford
2004,1,79,74
2004,2,75,70
2004,3,84,80
2004,4,77,69
2004,5,65,70
2004,6,64,59
2004,7,66,61
2004,8,71,60
2004,9,83,78
2004,10,85,70
2004,11,100,74
2004,12,70,65
2005,1,62,65
2005,2,62,68
2005,3,65,68
2005,4,69,59
2005,5,56,56
2005,6,56,56
2005,7,54,52
2005,8,59,56
2005,9,74,64
2005,10,77,77
2005,11,87,62
2005,12,56,54
2006,1,56,57
2006,2,57,62
2006,3,63,61
2006,4,60,62
2006,5,51,54
2006,6,45,46
2006,7,47,46
2006,8,57,49
2006,9,69,55
2006,10,74,64
2006,11,80,55
2006,12,50,51
2007,1,55,54
2007,2,51,52
2007,3,53,54
2007,4,57,53
2007,5,51,49
2007,6,43,47
2007,7,46,44
2007,8,55,44
2007,9,72,56
2007,10,70,57
2007,11,73,56
2007,12,48,48
2008,1,46,49
2008,2,48,51
2008,3,51,55
2008,4,53,53
2008,5,47,44
2008,6,39,44
2008,7,39,37
2008,8,51,42
2008,9,60,52
2008,10,57,51
2008,11,65,50
2008,12,45,42
2009,1,47,45
2009,2,47,55
2009,3,49,48
2009,4,47,49
2009,5,44,42
2009,6,36,42
2009,7,39,36
2009,8,45,40
2009,9,59,53
2009,10,55,50
2009,11,66,59
2009,12,42,44
2010,1,42,45
2010,2,41,42
2010,3,46,45
2010,4,44,45
2010,5,38,41
2010,6,32,36
2010,7,30,33
2010,8,38,34
2010,9,48,50
2010,10,48,53
2010,11,56,48
2010,12,33,41
2011,1,42,57
2011,2,41,43
2011,3,41,46
2011,4,42,43
2011,5,38,41
2011,6,34,37
2011,7,32,34
2011,8,39,37
2011,9,46,51
2011,10,48,72
2011,11,61,67
2011,12,35,43
2012,1,38,50
2012,2,35,42
2012,3,40,43
2012,4,40,44
2012,5,33,38
2012,6,27,36
2012,7,26,33
2012,8,37,35
2012,9,43,53
2012,10,41,45
2012,11,45,50
2012,12,32,40
2013,1,33,45
2013,2,33,38
2013,3,37,42
2013,4,36,38
2013,5,30,34
2013,6,26,35
2013,7,27,32
2013,8,34,34
2013,9,42,49
2013,10,43,52
2013,11,46,60
2013,12,27,41
2014,1,33,48
2014,2,33,36
2014,3,37,46
2014,4,35,39
2014,5,32,35
2014,6,26,33
2014,7,26,31
2014,8,33,35
2014,9,39,49
2014,10,40,47
2014,11,46,42
2014,12,30,35
2015,1,29,40
2015,2,28,38
2015,3,39,38
2015,4,33,42
2015,5,29,35
2015,6,25,34
2015,7,25,35
2015,8,31,34
2015,9,39,48
2015,10,41,52
2015,11,44,59
2015,12,27,42
2016,1,32,51
2016,2,31,35
2016,3,36,38
2016,4,34,37
2016,5,31,35
2016,6,24,71
2016,7,22,29
2016,8,31,35
2016,9,38,53
2016,10,39,50
2016,11,41,40
2016,12,27,37
2017,1,30,35
2017,2,45,35
2017,3,37,37
2017,4,39,39
2017,5,30,32
2017,6,23,33
2017,7,23,31
2017,8,31,32
2017,9,42,43
2017,10,38,41
2017,11,40,46
2017,12,24,41
2018,1,26,35
2018,2,26,33
2018,3,32,35
2018,4,30,34
2018,5,26,32
2018,6,21,29
2018,7,21,26
2018,8,30,30
2018,9,35,51
2018,10,34,43
2018,11,38,37
2018,12,25,36
2019,1,25,31
2019,2,27,31
2019,3,33,34
2019,4,29,33
2019,5,25,29
2019,6,19,29
2019,7,20,24
2019,8,27,30
2019,9,39,41
2019,10,33,36
2019,11,37,34
2019,12,24,33
2020,1,22,29
2020,2,23,30
2020,3,23,30
2020,4,21,27
2020,5,22,23
2020,6,20,23
2020,7,19,25
2020,8,21,23
2020,9,20,24
2020,10,16,19
2020,11,19,23
2020,12,20,31
