Year,Month,UCLA,USC
2004,1,83,48
2004,2,84,35
2004,3,88,34
2004,4,81,37
2004,5,78,31
2004,6,78,30
2004,7,68,32
2004,8,72,46
2004,9,83,51
2004,10,87,54
2004,11,87,53
2004,12,75,50
2005,1,77,58
2005,2,78,37
2005,3,79,37
2005,4,73,36
2005,5,73,32
2005,6,69,32
2005,7,61,32
2005,8,68,43
2005,9,80,62
2005,10,94,73
2005,11,95,76
2005,12,76,69
2006,1,75,72
2006,2,70,37
2006,3,85,36
2006,4,87,40
2006,5,69,35
2006,6,64,31
2006,7,59,31
2006,8,63,45
2006,9,78,63
2006,10,83,58
2006,11,100,71
2006,12,79,51
2007,1,70,60
2007,2,69,39
2007,3,85,41
2007,4,74,38
2007,5,63,33
2007,6,64,31
2007,7,57,33
2007,8,61,48
2007,9,80,71
2007,10,82,65
2007,11,83,58
2007,12,64,46
2008,1,65,48
2008,2,64,37
2008,3,82,39
2008,4,70,36
2008,5,63,32
2008,6,55,29
2008,7,51,33
2008,8,57,49
2008,9,75,73
2008,10,68,54
2008,11,71,57
2008,12,55,47
2009,1,61,50
2009,2,63,39
2009,3,69,43
2009,4,63,42
2009,5,54,34
2009,6,56,29
2009,7,48,30
2009,8,51,46
2009,9,72,74
2009,10,73,60
2009,11,82,63
2009,12,53,43
2010,1,59,54
2010,2,57,43
2010,3,60,38
2010,4,58,40
2010,5,54,35
2010,6,58,42
2010,7,40,31
2010,8,45,40
2010,9,63,57
2010,10,63,56
2010,11,62,51
2010,12,48,40
2011,1,55,43
2011,2,56,39
2011,3,75,48
2011,4,55,44
2011,5,52,34
2011,6,48,31
2011,7,43,31
2011,8,45,42
2011,9,64,59
2011,10,65,55
2011,11,79,67
2011,12,52,38
2012,1,53,41
2012,2,54,37
2012,3,55,36
2012,4,55,42
2012,5,49,33
2012,6,47,29
2012,7,39,31
2012,8,45,47
2012,9,65,69
2012,10,60,51
2012,11,77,74
2012,12,50,34
2013,1,51,39
2013,2,49,35
2013,3,62,35
2013,4,56,37
2013,5,48,31
2013,6,50,26
2013,7,39,26
2013,8,42,43
2013,9,66,61
2013,10,66,49
2013,11,71,56
2013,12,50,42
2014,1,54,38
2014,2,49,33
2014,3,63,33
2014,4,50,34
2014,5,47,31
2014,6,41,24
2014,7,41,26
2014,8,45,47
2014,9,60,56
2014,10,64,50
2014,11,72,55
2014,12,41,32
2015,1,48,34
2015,2,48,35
2015,3,65,31
2015,4,47,31
2015,5,44,26
2015,6,40,22
2015,7,36,24
2015,8,40,37
2015,9,70,57
2015,10,63,59
2015,11,65,57
2015,12,44,37
2016,1,47,37
2016,2,49,33
2016,3,51,34
2016,4,49,33
2016,5,44,27
2016,6,96,23
2016,7,32,23
2016,8,37,38
2016,9,62,66
2016,10,55,50
2016,11,62,61
2016,12,45,37
2017,1,53,49
2017,2,57,33
2017,3,93,41
2017,4,48,33
2017,5,42,27
2017,6,39,21
2017,7,33,25
2017,8,37,37
2017,9,64,73
2017,10,54,66
2017,11,82,55
2017,12,44,44
2018,1,43,33
2018,2,43,28
2018,3,51,33
2018,4,43,29
2018,5,42,26
2018,6,37,22
2018,7,32,22
2018,8,37,36
2018,9,57,58
2018,10,51,46
2018,11,53,55
2018,12,34,28
2019,1,49,33
2019,2,42,28
2019,3,51,46
2019,4,48,31
2019,5,39,25
2019,6,46,21
2019,7,29,20
2019,8,37,33
2019,9,54,58
2019,10,48,44
2019,11,53,53
2019,12,32,32
2020,1,36,29
2020,2,41,28
2020,3,38,23
2020,4,29,22
2020,5,29,20
2020,6,30,19
2020,7,26,19
2020,8,26,19
2020,9,27,19
2020,10,24,17
2020,11,27,25
